username,repo_name,stars,repo_url
localstack,localstack,43700,https://github.com/localstack/localstack
harness,drone,25800,https://github.com/harness/drone
jenkinsci,jenkins,19500,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12500,https://github.com/auchenberg/volkswagen
theonedev,onedev,9700,https://github.com/theonedev/onedev
openshift,origin,8200,https://github.com/openshift/origin
gocd,gocd,6600,https://github.com/gocd/gocd
concourse,concourse,6600,https://github.com/concourse/concourse
buildbot,buildbot,4900,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4800,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4200,https://github.com/jenkins-x/jx
ovh,cds,4000,https://github.com/ovh/cds
xcpretty,xcpretty,3800,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
iterative,cml,3500,https://github.com/iterative/cml
cake-build,cake,3400,https://github.com/cake-build/cake
werf,werf,3300,https://github.com/werf/werf
JamesIves,github-pages-deploy-action,3200,https://github.com/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,3000,https://github.com/ligurio/awesome-ci
