username,repo_name,stars,repo_url
Genymobile,scrcpy,70900,https://github.com/Genymobile/scrcpy
neovim,neovim,58000,https://github.com/neovim/neovim
git,git,43600,https://github.com/git/git
obsproject,obs-studio,41900,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,40500,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,32299,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,31900,https://github.com/FFmpeg/FFmpeg
vim,vim,28500,https://github.com/vim/vim
curl,curl,26700,https://github.com/curl/curl
huihut,interview,26000,https://github.com/huihut/interview
ggreer,the_silver_searcher,24100,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,20200,https://github.com/pbatard/rufus
mpv-player,mpv,20100,https://github.com/mpv-player/mpv
ruby,ruby,19500,https://github.com/ruby/ruby
ossrs,srs,19200,https://github.com/ossrs/srs
google,flatbuffers,18800,https://github.com/google/flatbuffers
oracle,graal,17500,https://github.com/oracle/graal
radareorg,radare2,16900,https://github.com/radareorg/radare2
microsoft,vcpkg,16800,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,16100,https://github.com/kovidgoyal/kitty
